연번,업종,가맹점명칭,도로명주소,지번주소,전화번호,위도,경도
1,편의점,씨유 양재점,강남대로 238,서울 강남구 도곡동 953-11,02-1577-8007,37.4847935,127.0337964
2,한식,(주)금강수림,강남대로 240,서울 강남구 도곡동 953-1,02-577-9992,37.4847935,127.0337964
3,일반대중음식,양재타워,강남대로 262,서울 강남구 도곡동 949-3,02-529-3530,37.4847935,127.0337964
4,편의점,GS25도곡푸른점,강남대로 272,서울 강남구 도곡동 949-2,02-2006-2485,37.4877664,127.0328903
5,양식,(유)아웃백스테이크하우스코리아,강남대로 298,서울 강남구 역삼동 838,02-2054-8300,37.4847935,127.0337964
6,한식,(주)이씨엠디 푸르덴셜생명,강남대로 298,서울 강남구 역삼동 838,02-3400-7751,37.4847935,127.0337964
7,중식,짜짜루,강남대로 310,서울 강남구 역삼동 837-11,02-554-9004,37.4847935,127.0337964
8,일반대중음식,리나스 강남,강남대로 318,서울 강남구 역삼동 837,,37.4847935,127.0337964
9,편의점,GS25 강남쉐르빌점,강남대로 328,,080-855-2525,37.4847935,127.0337964
10,일반대중음식,롯데리아 강남우성사거리,강남대로 334,,02-709-2043,37.4847935,127.0337964
