연번,업종,가맹점명칭,도로명주소,지번주소,전화번호,위도,경도
1,편의점,씨유 양재점,강남대로 238,서울 강남구 도곡동 953-11,02-1577-8007,37.4847935,127.0337964
2,한식,(주)금강수림,강남대로 240,서울 강남구 도곡동 953-1,02-577-9992,37.4847935,127.0337964
3,일반대중음식,양재타워,강남대로 262,서울 강남구 도곡동 949-3,02-529-3530,37.4847935,127.0337964
4,편의점,GS25도곡푸른점,강남대로 272,서울 강남구 도곡동 949-2,02-2006-2485,37.4877664,127.0328903
5,양식,(유)아웃백스테이크하우스코리아,강남대로 298,서울 강남구 역삼동 838,02-2054-8300,37.4847935,127.0337964
6,한식,(주)이씨엠디 푸르덴셜생명,강남대로 298,서울 강남구 역삼동 838,02-3400-7751,37.4847935,127.0337964
7,중식,짜짜루,강남대로 310,서울 강남구 역삼동 837-11,02-554-9004,37.4847935,127.0337964
8,일반대중음식,리나스 강남,강남대로 318,서울 강남구 역삼동 837,,37.4847935,127.0337964
9,편의점,GS25 강남쉐르빌점,강남대로 328,,080-855-2525,37.4847935,127.0337964
10,일반대중음식,롯데리아 강남우성사거리,강남대로 334,,02-709-2043,37.4847935,127.0337964
11,편의점,GS25 역삼로점,강남대로 338,,02-300-1111,37.4847935,127.0337964
12,한식,한방삼계탕,강남대로 342,서울 강남구 역삼동 831-18,02-564-9922,37.4847935,127.0337964
13,일반대중음식,테라스토리,강남대로 345,,070-8709-8282,37.4847935,127.0337964
14,양식,（주） 파리크라상 라그릴리아 강남스퀘어점,강남대로 352,서울 강남구 역삼동 831-23,02-567-9192,37.4847935,127.0337964
15,양식,라그릴리아 비스트로바 SPC스퀘어점,강남대로 352,서울 강남구 역삼동 831-23,02-567-9193,37.4847935,127.0337964
16,제과점,크리스피크림 강남역점,강남대로 376,서울 강남구 역삼동 825-8,02-567-1937,37.4847935,127.0337964
17,편의점,GS25 S강남역2호점,강남대로 390,서울 강남구 역삼동 825,,37.4847935,127.0337964
18,편의점,GS25강남역3호점,강남대로 390,서울 강남구 역삼동 825,080-555-2525,37.4847935,127.0337964
19,편의점,GS25 S강남역1호점,강남대로 390,서울 강남구 역삼동 825,02-1122-1111,37.4847935,127.0337964
20,제과점,비알코리아(주) 던킨도너츠강남역사,강남대로 390,서울 강남구 역삼동 825,02-2187-3059,37.4847935,127.0337964
21,일식,오수사,강남대로 390,서울 강남구 역삼동 825,02-3469-1144,37.4847935,127.0337964
22,제과점,더벤티강남역지하상가점,강남대로 396,서울 강남구 역삼동 858,02-553-1641,37.4847935,127.0337964
23,일반대중음식,명랑시대쌀핫도그 강남역점,강남대로 396,서울 강남구 역삼동 858,02-558-4543,37.4847935,127.0337964
24,패스트푸드,버거킹 강남대로점,강남대로 406,서울 강남구 역삼동 820-9,02-566-0332,37.4847935,127.0337964
25,양식,씨제이푸드빌(주)빕스 강남역점,강남대로 408,서울 강남구 역삼동 820-8,02-558-7415,37.4847935,127.0337964
26,양식,씨제이 푸드빌(주)VIPS 강남역점,강남대로 408,서울 강남구 역삼동 820-8,02-558-7415,37.4847935,127.0337964
27,일반대중음식,(주) 우명에프엔씨(훗스테이크강남역점),강남대로 412,서울 강남구 역삼동 820,02-561-6020,37.4847935,127.0337964
28,제과점,씨제이푸드빌(주) 뚜레쥬르 강남역점,강남대로 416,서울 강남구 역삼동 816-3,02-3453-9262,37.4847935,127.0337964
29,일반대중음식,스무디킹 강남역점,강남대로 420,서울 강남구 역삼동 816-1,02-567-4959,37.4847935,127.0337964
30,일반대중음식,(주)88상회 88핫도그,강남대로 426,서울 강남구 역삼동 815-5,070-4115-1028,37.4847935,127.0337964
31,일식,스폰티니 강남점,강남대로 442,,02-558-8072,37.5020617,127.02608126034366
32,편의점,(주)스타럭스 스타리테일,강남대로 442,서울 강남구 역삼동 814-5,02-551-7007,37.5020617,127.02608126034366
33,일식,(주)스타럭스교토가츠규&삼성동치킨 강남점,강남대로 442,서울 강남구 역삼동 814-5,02-551-7007,37.5020617,127.02608126034366
34,패스트푸드,주식회사 이안지티,강남대로 468,서울 강남구 역삼동 808-5,,37.50417695,127.02514074999999
35,편의점,CU 신논현역점,강남대로 492,서울 강남구 논현동 165-8,02-512-2226,37.4847935,127.0337964
36,양식,(유)아웃백스테이크하우스코리아강남점,강남대로 502,서울 강남구 논현동 165,02-515-4791,37.4847935,127.0337964
37,한식,언양불고기,강남대로 518,서울 강남구 논현동 164-1,02-548-2684,37.4847935,127.0337964
38,한식,할매숯불닭갈비,강남대로 520,서울 강남구 논현동 164,02-549-6161,37.4847935,127.0337964
39,한식,영동원삼겹살,강남대로 520,서울 강남구 논현동 164,02-541-5090,37.4847935,127.0337964
40,제과점,파리바게뜨 강남영동점,강남대로 532,서울 강남구 논현동 143,02-515-3898,37.4847935,127.0337964
41,한식,무화잠,강남대로 538,서울 강남구 논현동 142-2,02-3443-7852,37.4847935,127.0337964
42,일반대중음식,예맥 언약,강남대로 546,서울 강남구 논현동 120-4,02-515-5588,37.4847935,127.0337964
43,제과점,원더시티!뉴욕컵케이트,강남대로 556,서울 강남구 논현동 50-1,02-324-8412,37.4847935,127.0337964
44,편의점,씨유 논현역드림점,강남대로 570,서울 강남구 논현동 49,02-545-1255,37.4847935,127.0337964
45,편의점,CU 신사렉스점,강남대로 588,서울 강남구 논현동 18-2,02-540-6103,37.4847935,127.0337964
46,일반대중음식,(주)이삭 신사역점,강남대로 594,서울 강남구 논현동 17-8,02-540-2492,37.4847935,127.0337964
47,제과점,CJ푸드빌(주)뚜레쥬르 신사점,강남대로 600,,02-511-8127,37.5225608,127.0170959
48,일반대중음식,(주)에스피씨 삼립 그릭슈바인 신사역점,강남대로 600,서울 강남구 논현동 17,02-511-6747,37.5225608,127.0170959
49,제과점,(주)에스피씨삼립 빚은 신사역점,강남대로 600,서울 강남구 논현동 17,02-517-5123,37.5225608,127.0170959
50,일반대중음식,폴 바셋 상하목장 신사역점,강남대로 600,서울 강남구 논현동 17,02-516-7471,37.5225608,127.0170959
51,일반대중음식,딱좋아,강남대로 620,서울 강남구 신사동 502-11,02-542-9293,37.5171349,127.019749
52,일반대중음식,원해분식,강남대로 620,서울 강남구 신사동 502-11,02-542-0616,37.5171349,127.019749
53,한식,종로김밥,강남대로 622,서울 강남구 신사동 502-7,02-545-9342,37.4847935,127.0337964
54,일반대중음식,청춘식당미래소년,강남대로 628,서울 강남구 신사동 502-1,02-123-2580,37.4847935,127.0337964
55,한식,홍미닭발,강남대로 628,서울 강남구 신사동 502-1,02-545-2119,37.4847935,127.0337964
